"Netherlands,4-7  nights,Sea,VFR"
"Netherlands,4-7  nights,Tunnel,Business"
"Netherlands,4-7  nights,Tunnel,VFR"
"Netherlands,8-14 nights,Air,Holiday"
"Netherlands,8-14 nights,Air,Business"
"Netherlands,8-14 nights,Air,VFR"
"Netherlands,15+  nights,Air,Business"
"Netherlands,15+  nights,Air,VFR"
"Denmark,1-3  nights,Air,Holiday"
"Denmark,1-3  nights,Air,Business"
"Denmark,1-3  nights,Air,VFR"
"Denmark,1-3  nights,Air,Miscellaneous"
"Denmark,1-3  nights,Sea,Business"
"Denmark,4-7  nights,Air,Holiday"
"Denmark,4-7  nights,Air,Business"
"Denmark,4-7  nights,Air,VFR"
"Denmark,4-7  nights,Air,Study"
"Denmark,4-7  nights,Air,Miscellaneous"
"Denmark,8-14 nights,Air,Holiday"
"Denmark,8-14 nights,Air,Business"
"Denmark,8-14 nights,Air,VFR"
"Denmark,15+  nights,Air,VFR"
"Greece,1-3  nights,Air,Holiday"
"Greece,1-3  nights,Air,Business"
"Greece,1-3  nights,Air,VFR"
"Greece,4-7  nights,Air,Holiday"
"Greece,4-7  nights,Air,Business"
"Greece,4-7  nights,Air,VFR"
"Greece,4-7  nights,Air,Miscellaneous"
"Greece,8-14 nights,Air,Holiday"
"Greece,8-14 nights,Air,Business"
"Greece,8-14 nights,Air,VFR"
"Greece,15+  nights,Air,Holiday"
"Greece,15+  nights,Air,VFR"
"Spain,1-3  nights,Air,Holiday"
"Spain,1-3  nights,Air,Business"
"Spain,1-3  nights,Air,VFR"
"Spain,1-3  nights,Air,Miscellaneous"
"Spain,1-3  nights,Sea,Business"
"Spain,1-3  nights,Tunnel,Business"
"Spain,1-3  nights,Tunnel,VFR"
"Spain,4-7  nights,Air,Holiday"
"Spain,4-7  nights,Air,Business"
"Spain,4-7  nights,Air,VFR"
"Spain,4-7  nights,Air,Study"
"Spain,4-7  nights,Air,Miscellaneous"
"Spain,8-14 nights,Air,Holiday"
"Spain,8-14 nights,Air,Business"
"Spain,8-14 nights,Air,VFR"
"Spain,15+  nights,Air,Holiday"
"Spain,15+  nights,Air,Business"
"Spain,15+  nights,Air,VFR"
"Portugal,1-3  nights,Air,Holiday"
"Portugal,1-3  nights,Air,Business"
"Portugal,1-3  nights,Air,VFR"
"Portugal,4-7  nights,Air,Holiday"
"Portugal,4-7  nights,Air,Business"
"Portugal,4-7  nights,Air,VFR"
"Portugal,8-14 nights,Air,Holiday"
"Portugal,8-14 nights,Air,Business"
"Portugal,8-14 nights,Air,VFR"
"Portugal,15+  nights,Air,Business"
"Portugal,15+  nights,Air,VFR"
"Portugal,15+  nights,Air,Miscellaneous"
"Portugal,15+  nights,Sea,Business"
"Austria,1-3  nights,Air,Holiday"
"Austria,1-3  nights,Air,Business"
"Austria,1-3  nights,Air,VFR"
"Austria,1-3  nights,Air,Miscellaneous"
"Austria,4-7  nights,Air,Holiday"
"Austria,4-7  nights,Air,Business"
"Austria,4-7  nights,Air,VFR"
"Austria,8-14 nights,Air,Holiday"
"Austria,8-14 nights,Air,VFR"
"Austria,15+  nights,Air,Holiday"
"Austria,15+  nights,Air,Business"
"Austria,15+  nights,Air,VFR"
"Austria,15+  nights,Sea,VFR"
"Sweden,1-3  nights,Air,Holiday"
"Sweden,1-3  nights,Air,Business"
"Sweden,1-3  nights,Air,VFR"
"Sweden,1-3  nights,Air,Miscellaneous"
"Sweden,4-7  nights,Air,Holiday"
"Sweden,4-7  nights,Air,Business"
"Sweden,4-7  nights,Air,VFR"
"Sweden,8-14 nights,Air,Holiday"
"Sweden,8-14 nights,Air,VFR"
"Sweden,8-14 nights,Sea,Business"
"Sweden,15+  nights,Air,Holiday"
"Sweden,15+  nights,Air,Business"
"Sweden,15+  nights,Air,VFR"
"Finland,1-3  nights,Air,Holiday"
"Finland,1-3  nights,Air,Business"
"Finland,4-7  nights,Air,Holiday"
"Finland,4-7  nights,Air,Business"
"Finland,4-7  nights,Air,VFR"
"Finland,8-14 nights,Air,Holiday"
"Finland,8-14 nights,Air,VFR"
"Finland,15+  nights,Air,Business"
"Finland,15+  nights,Air,VFR"
"Irish Republic,1-3  nights,Air,Holiday"
"Irish Republic,1-3  nights,Air,Business"
"Irish Republic,1-3  nights,Air,VFR"
"Irish Republic,1-3  nights,Air,Study"
"Irish Republic,1-3  nights,Air,Miscellaneous"
"Irish Republic,1-3  nights,Sea,VFR"
"Irish Republic,4-7  nights,Air,Holiday"
"Irish Republic,4-7  nights,Air,Business"
